Custom Language|Українська
Put your card collection on this shelf to sell it to customers. This shelf has 10 card slots.|Викладайте тут картки зі своєї колекції на продаж. На полиці 10 місць для карток.
Put your card collection on this table for display. This table has 10 card slots.|Виставляйте тут картки зі своєї колекції. На столі 10 місць для карток.
Put your card collection on this table to sell it to customers. This table has 10 card slots.|Викладайте тут картки зі своєї колекції на продаж. На столі 10 місць для карток.
Put your card collection on this table to sell it to customers. This table has 12 card slots.|Викладайте тут картки зі своєї колекції на продаж. На столі 12 місць для карток.
Pyropeck|Піропек
Qty|Кількість
Quality Preset|Профіль якості
Quantity|Кількість
Queen|Королева
Quit|Вийти
Quit Game|Вийти з гри
RENO BIGG|РЕНО БІГГ
RETAIL SHOP RENOVATION|РЕМОНТ РОЗДРІБНОГО МАГАЗИНУ
Raizon|Райзон
Random rarity pack and card price might XXX|Ціна бустерів і карток випадкової рідкості може змінитися: XXX
Randomize|Випадковий вибір
Randomly selects 100 low value cards from album and bundle them to a bulk card box|Випадково вибирає з альбому 100 недорогих карток і пакує їх у коробку недорогих карток.
Randomly swap XXX of opponent's field card|Випадково замініть XXX картку на полі суперника
Rank|Ранг
Ranking|Рейтинг
Rare|Рідкісна
Rare Card Box|Рідкісна коробка карток
Rare Card Pack|Рідкісний бустер
Rare Destiny Box|Рідкісна коробка «Доля»
Rare Destiny Pack|Рідкісний бустер «Доля»
Rare Foil Pack|Рідкісний фойловий бустер
Rare pack and card price might XXX|Ціна рідкісних бустерів і карток може змінитися: XXX
Rare, Epic or Legendary pack and card price might XXX|Ціна рідкісних, епічних або легендарних бустерів і карток може змінитися: XXX
Rarity|Рідкість
Rarity To Select|Рідкість для вибору
Rate|Оцінка
Raxx|Раккс
Reach Shop level 2 to unlock more upgrades|Досягніть 2-го рівня магазину, щоб розблокувати більше покращень
Reach Shop level 3 to unlock more upgrades|Досягніть 3-го рівня магазину, щоб розблокувати більше покращень
Ready To Collect|Готово до отримання
Received|Отримано
Refill|Заправити
Refill machine with Cleanser|Заправте машину очищувачем.
Refuse|Відмовитися
Remove|Видалити
Remove Label|Видалити ярлик
Rename|Перейменувати
Rent|Оренда
Rent Bill|Рахунок за оренду
Rent is accumulated each day depending on the size of shop|Орендна плата нараховується щодня й залежить від розміру магазину.
Report|Звіт
Requesting|Запит
Required|Потрібно
Requirement|Вимога
Research|Дослідження
Reset|Скинути
Reset All|Скинути все
Reset Game|Скинути гру
Resolution|Роздільна здатність
Rest|Відпочити
Restart|Перезапустити
Resting|Відпочинок
Restock|Поповнення запасів
Restock Shelf|Поповнити полицю
Restock Speed :|Швидкість поповнення:
Restock Speed:|Швидкість поповнення:
Restock Time|Час поповнення
Restock Time :|Час поповнення:
Restocking|Поповнення запасів
Resume|Продовжити
Revenue|Дохід
Reviews|Відгуки
Reward|Нагорода
Reward not unlocked yet|Нагороду ще не розблоковано
Rhino|Носоріг
Ridiculous. XXX bucks for this!?|Та ну! XXX за це?!
Ridiculous. XXX bucks!?|Серйозно? XXX?!
Right|Праворуч
Roadmap/-Can sell old shelf|- Можливість продати стару полицю
Roadmap/-Cloud save & achievement|- Збереження в хмарі та досягнення
Roadmap/-Collecting card will give you 1 pts for every 10 fame on the card|- Збирання карток дасть 1 бал за кожні 10 слави на картці
Roadmap/-Collecting cards will give points|- Збирання карток даватиме бали
Roadmap/-Controller support & keybind|- Підтримка контролера та призначення клавіш
Roadmap/-Customer review app|- Додаток для відгуків клієнтів
Roadmap/-Customer trade cards|- Обмін картками з клієнтами
Roadmap/-Difficulty mode|- Режим складності
Roadmap/-Each shop upgrade will give 10 pts|- Кожне покращення магазину дає 10 балів
Roadmap/-Every 100 customer purchase made give 1 point|- Кожна 100-та покупка клієнта дає 1 бал
Roadmap/-Every 100 customer visit give 1 point|- Кожне 100-те відвідування клієнта дає 1 бал
Roadmap/-Grading card|- Грейдинг карток
Roadmap/-Hire worker for automation|- Найм працівника для автоматизації
Roadmap/-Host game able to edt format|- Можливість змінювати формат ігрової сесії
Roadmap/-Item & card price change daily|- Ціни на товари й картки змінюються щодня
Roadmap/-More TCG types|- Більше типів TCG
Roadmap/-More shelf & table types|- Більше типів полиць і столів
Roadmap/-More shop product types|- Більше типів товарів у магазині
Roadmap/-Opening card packs will give pts|- Відкривання бустерів дає бали
Roadmap/-Organize tournament|- Організація турніру
Roadmap/-Playable TCG|- Можливість грати в TCG
Roadmap/-Random events may occur|- Можливі випадкові події
Roadmap/-Rent and bill|- Оренда та рахунки
Roadmap/-Selling item will give you 1 pts for every 100 item weight|- Продаж товарів дає 1 бал за кожні 100 одиниць ваги товару
Roadmap/-Shop decoration|- Оформлення магазину
Roadmap/-Unlocking and upgrading shelf, vehicle, or items will give points|- Розблокування та покращення полиць, транспорту або предметів дає бали
Roadmap/-Unlocking shop room, unlocking and upgrading shelf will give pts|- Відкриття кімнат магазину, розблокування та покращення полиць дає бали
Roadmap/-Warehouse room|- Складське приміщення
Rotate|Повернути
Round|Раунд
Royalama|Роялама
Rubbish Bin|Смітник
Run|Бігти
SFX|Звукові ефекти
Salary|Зарплата
Salary Cost :|Вартість зарплати:
Salary Cost:|Вартість зарплати:
Sales Outreach|Робота з продажами
Sales Report|Звіт про продажі
Sapoling|Саполінг
Save|Зберегти
Save Game|Зберегти гру
Save Game Failed|Не вдалося зберегти гру
Saving Game...|Збереження гри...
Saving data to cloud|Збереження даних у хмарі
Scan|Сканування
Scarkgorus|Скаркгорус
Scarlios|Скарліос
Scroll|Прокрутка
Search|Пошук
Seedant|Сідант
Seems fair, but I don't have enough money.|Ціна здається чесною, але грошей не вистачає.
Select|Вибрати
Select Card To Sell|Виберіть картку для продажу
Select Quantity|Виберіть кількість
Sell|Продати
Sell 10 cards to customer|Продати 10 карток клієнту
Sell All|Продати все
Sell Card|Продати картку
Sell Chance|Шанс продажу
Sell Price|Ціна продажу
Sell XXX YYY|Продати XXX YYY
Selling Price|Ціна продажу
Send|Надіслати
September|Вересень
Set Fee|Встановити плату
Set Game Format|Встановити формат гри
Set Price|Встановити ціну
Set Shop Name|Встановити назву магазину
Set the item price higher than the market price to be profitable|Встановіть ціну товару вище за ринкову, щоб отримувати прибуток
Setting|Налаштування
Settings|Налаштування
Share|Поділитися
Sharfin|Шарфін
Shelf|Полиця
Shelf data not loaded correctly|Дані полиці завантажено некоректно
Shelf has no item on it|На полиці немає товарів
Shelf has no more space|На полиці більше немає місця
Shelf to store your personal items. Store up to 10 types of item. Each compartment has volume of 48.|Полиця для особистих речей. Зберігає до 10 типів речей; місткість кожного відсіку — 48.
Shelf to store your personal items. Store up to 3 types of item. Each compartment has volume of 48.|Полиця для особистих речей. Зберігає до 3 типів речей; місткість кожного відсіку — 48.
Shelf to store your personal items. Store up to 8 types of item. Each compartment has volume of 48.|Полиця для особистих речей. Зберігає до 8 типів речей; місткість кожного відсіку — 48.
Shellow|Шеллоу
Shelves|Полиці
Shockwave|Шокова хвиля
Shop|Магазин
Shop A|Магазин A
Shop Data|Дані магазину
Shop Expansion|Розширення магазину
Shop Expansion 1|Розширення магазину 1
Shop Expansion 2|Розширення магазину 2
Shop Expansion 3|Розширення магазину 3
Shop Level|Рівень магазину
Shop Level XXX|Рівень магазину XXX
Shop Level XXX Required|Потрібний рівень магазину XXX
Shop Level:|Рівень магазину:
Shop Lot A|Торговий лот A
Shop Lot B|Торговий лот B
Shop Report|Звіт магазину
Shopping Cart|Кошик для покупок
Should I also fill up shelf with no label?|Заповнити також полиці без етикеток?
Should I fill up shelf with no label?|Заповнити полицю без етикетки?
Show New Card|Показати нову картку
Silver Edition|Срібне видання
Silver Legacy|Срібна спадщина
Single Sided Shelf|Одностороння полиця
Size|Розмір
Skill|Навичка
Skip|Пропустити
Skip All|Пропустити все
Skull|Череп
Slime|Слиз
Slot 1|Слот 1
Slot 2|Слот 2
Slot 3|Слот 3
Slow|Повільно
Sludgetox|Сладжетокс
Sludglop|Сладжлоп
Small Cabinet|Маленька шафа
Small Card Display|Мала вітрина для карток
Small Metal Rack|Маленька металева стійка
Small Metal Shelf|Маленька металева полиця
Small Personal Shelf|Маленька особиста полиця
Small Rack|Маленька стійка
Small Shelf|Маленька полиця
Small Table|Маленький стіл
Small Warehouse Shelf|Маленька складська полиця
So tempting, but I am broke.|Так і хочеться купити, але грошей немає.
Sort|Сортувати
Sort Album|Сортувати альбом
Sort By|Сортувати за
Sound|Звук
Sound Effect|Звуковий ефект
Space|Місце
Special Event|Особлива подія
Speed|Швидкість
Speed Up|Прискорити
Spend Limit|Ліміт витрат
Spray|Спрей
Sprint|Бігти
Standard|Стандартний
Start|Почати
Start Counter|Почати роботу за касою
Start Game|Почати гру
Stock Boost|Підвищення запасів
Stock Order|Замовлення товару
Store Box|Складська коробка
Store Champion|Чемпіон магазину
Store Manager|Керівник магазину
Store Page|Сторінка магазину
Strength|Сила
Subtotal|Проміжний підсумок
Successfully complete 100 checkouts|Успішно обслужіть 100 покупців на касі
Successfully complete 5 checkouts|Успішно обслужіть 5 покупців на касі
Sunflork|Санфлорк
Supply Cost|Вартість постачання
Support|Підтримка
Switch|Перемикач
System Gate #1|Системні ворота №1
System Gate 1|Системні ворота №1
System Gate 2|Системні ворота №2
TARGET|ЦІЛЬ
TASK|ЗАВДАННЯ
TCG|TCG
TCG Price|Ціна TCG
Table|Стіл
Table Top|Стільниця
Take Box|Взяти коробку
Take Card|Взяти картку
Take Item|Взяти товар
Talonika|Талоніка
Talonryu|Талонрю
Talontsu|Талонцу
Tempting, but I don't have enough money.|Спокусливо, але грошей не вистачає.
Terminate|Припинити
Terms & Condition|Умови використання
Terradrakon|Террадракон
Tetramon|Тетрамон
Tetramon Base|База Тетрамона
Tetramon Card Collector|Колекціонер карток Тетрамона
Tetramon Destiny|Доля Тетрамона
Tetramon Destiny Bulk Box|Коробка недорогих карток «Доля Тетрамона»
Tetramon Duel Master|Майстер дуелей Тетрамона
Tetramon Ghost|Привид Тетрамона
Tetron|Тетрон
Thank you!|Дякую!
The Champion|Чемпіон
There are items in the box. Are you sure about throwing it away?|У коробці є товари. Точно її викинути?
This card is way overpriced!|Ціна цієї картки страшенно завищена!
This cost XXX bucks!?|Це коштує XXX!?
This is a scam!|Це обман!
This is a steal, but I don't have enough money.|Ціна чудова, але грошей не вистачає.
This is fine.|Це нормально.
This is tempting!|Це спокусливо!
This is the cheapest I've seen, but I am broke.|Дешевше я ще не бачив, але грошей немає.
This is very tempting!|Це дуже спокусливо!
Thor Hammer|Молот Тора
Threeze|Тріз
Throw|Кинути
Throw anything in here to dispose of it.|Кидайте сюди все, чого хочете позбутися.
Thunder Twin Blade|Подвійний громовий клинок
Thunderblade|Грімовий клинок
Timbro|Тімбро
Time Left|Час, що залишився
Time Remaining :|Час, що залишився:
Time:|Час:
Tip|Порада
Today|Сьогодні
Too expensive to play...|Занадто дорого для гри...
Too many items in cart|Забагато товарів у кошику
Too much change given|Занадто багато здачі
Tool Tip|Підказка
ToonZ Plushie|Плюшева іграшка «ТунZ»
Top Player|Найкращий гравець
Tortugor|Тортугор
Total|Загалом
Total Amount Due :|Загальна сума до сплати:
Total Customer|Загальна кількість клієнтів
Total Customer :|Загальна кількість клієнтів:
Total Due|Загальна сума
Total Due :|Загальна сума:
Total Earning|Загальний дохід
Total Item Sold|Загальна кількість проданих товарів
Total Shop Item :|Загальна кількість товарів у магазині:
Total Value|Загальна вартість
Total Visit|Загальна кількість відвідувань
Total Wins|Загальна кількість перемог
Total salary to be paid for all employee working in shop|Загальна зарплата всіх працівників магазину
Tournament Match|Матч турніру
Toxigoop|Токсигуп
Toximuck|Токсімак
Toys and figurine might XXX price|Ціна іграшок і фігурок може змінитися: XXX
Trade|Обмін
Trade Canceled|Обмін скасовано
Trade Success|Успішний обмін
Trade Success!|Успішний обмін!
Trading|Торгівля
Trash|Сміття
Trash Bin|Сміттєвий бак
Trickstar|Трикстар
Trickstar Figurine|Фігурка «Трикстар»
Trickstar Statue|Статуя «Трикстар»
Trickstar Statue Upgrade|Покращення статуї «Трикстар»
Try Again|Спробуйте ще раз
Turn Off|Вимкнути
Turn On|Увімкнути
Twofrost|Туфрост
Type|Тип
Type here...|Введіть тут...
Ugh, the stench...|Уф, сморід...
Uncommon|Незвичайна
Undo|Скасувати
Unit|Одиниця
Unit Price|Ціна за одиницю
Unknown|Невідомо
Unknown Error|Невідома помилка
Unlock|Розблокувати
Unlock Basic Card Box|Розблокувати базову коробку карток
Unlock Complete|Розблоковано
Unlock Shop B|Відкрити магазин B
Unlock YYY|Розблокувати YYY
Unlock previous shop expansion first|Спочатку відкрийте попереднє розширення магазину
Unlocked|Розблоковано
Update|Оновлення
Updating...|Оновлюється...
Upgrade|Покращення
Upgrade Cost|Вартість покращення
Upgrading|Покращення...
Use|Використати
Value|Вартість
Vampicant|Вампікант
Vampicant Figurine|Фігурка «Вампікант»
Vampicant Statue|Статуя «Вампікант»
Very Fast|Дуже швидко
Very Slow|Дуже повільно
Victory|Перемога
View|Переглянути
View Card|Переглянути картку
View Profile|Переглянути профіль
Vintage|Вінтаж
Vintage Card Table|Вінтажний стіл для карток
Visit Tetramon Discord server for more into.|Відвідайте сервер Тетрамон у Discord, щоб дізнатися більше.
Vitality|Живучість
Voltrex|Вольтрекс
WINS|ПЕРЕМОГИ
Warehouse Shelf|Складська полиця
Warning|Попередження
Water|Вода
Water Battle Deck|Бойова колода Води
Water Cup|Кубок Води
Water Destiny Deck|Колода «Доля Води»
Water element deals XXX extra damage this turn|Стихія Води завдає на XXX більше шкоди цього ходу
Water element deals double damage this turn|Стихія Води завдає подвійної шкоди цього ходу
We Got Everything|У нас є все
Werboo|Вербу
What a steal!|Яка вигідна покупка!
What's New|Що нового
What's up boss?|Як справи, бос?
Where is XXX?|Де XXX?
Why can't I get XXX in this shop!?|Чому в цьому магазині немає XXX?!
Wide Shelf|Широка полиця
Win|Перемога
Wind|Вітер
Wind Battle Deck|Бойова колода Вітру
Wind Cup|Кубок Вітру
Wind Destiny Deck|Колода «Доля Вітру»
Wind element deals XXX extra damage this turn|Стихія Вітру завдає на XXX більше шкоди цього ходу
Wind element deals double damage this turn|Стихія Вітру завдає подвійної шкоди цього ходу
Wind element deals double damage this turn, but earth element deals no damage|Стихія Вітру завдає подвійної шкоди цього ходу, але стихія Землі не завдає шкоди
Wins|Перемоги
Wispo|Віспо
Wolgin|Волгін
World Champion|Чемпіон світу
World Renowned|Всесвітньо відомий
Would you like to quit game?|Бажаєте вийти з гри?
Wow so cheap!|Вау, так дешево!
Wow this is the cheapest I've seen!|Вау, це найдешевше, що я бачив!
Wow, gotta take one of these.|Ого, треба щось із цього взяти.
Wow, if only I have enough money.|Ех, якби ще грошей вистачало.
Wrong amount keyed in|Введено неправильну суму
Wurmgle|Вурмгл
XXX bucks for this is fair.|XXX за це — цілком чесна ціна.
XXX customers visited the shop!|XXX клієнтів відвідали магазин!
XXX is a little expensive, hmm...|Ціна на XXX трохи зависока, хм...
Yes|Так
Yes, I Agree|Так, я згоден
You Lose|Ви програли
You Win!|Ви виграли!
ago|тому
d|д
day|день
days|дні
decrease|зменшення
h|год
hour|година
hours|години
hr|/год
increase|збільшення
min|хв
minute|хвилина
minutes|хвилини
month|місяць
months|місяці
s|с
second|секунда
seconds|секунди
year|рік
years|роки
CustomerReview/Can't find the cards I wanted|Не можу знайти потрібні мені картки.
*Orders after 1pm will start processing the next day|*Замовлення після 13:00 почнуть обробляти наступного дня
-Can sell old shelf|- Можливість продати стару полицю
-Cloud save & achievement|- Збереження в хмарі та досягнення
-Collecting card will give you 1 pts for every 10 fame on the card|- Збирання карток дасть 1 бал за кожні 10 слави на картці
-Collecting cards will give points|- Збирання карток даватиме бали
-Controller support & keybind|- Підтримка контролера та призначення клавіш
-Customer review app|- Додаток для відгуків клієнтів
-Customer trade cards|- Обмін картками з клієнтами
-Difficulty mode|- Режим складності
-Each shop upgrade will give 10 pts|- Кожне покращення магазину дає 10 балів
-Every 100 customer purchase made give 1 point|- Кожна 100-та покупка клієнта дає 1 бал
-Every 100 customer visit give 1 point|- Кожне 100-те відвідування клієнта дає 1 бал
-Grading card|- Грейдинг карток
-Hire worker for automation|- Найм працівника для автоматизації
-Host game able to edt format|- Можливість змінювати формат ігрової сесії
-Item & card price change daily|- Ціни на товари й картки змінюються щодня
-More TCG types|- Більше типів TCG
-More shelf & table types|- Більше типів полиць і столів
-More shop product types|- Більше типів товарів у магазині
-Opening card packs will give pts|- Відкривання бустерів дає бали
-Organize tournament|- Організація турніру
-Playable TCG|- Можливість грати в TCG
-Random events may occur|- Можливі випадкові події
-Rent and bill|- Оренда та рахунки
-Selling item will give you 1 pts for every 100 item weight|- Продаж товарів дає 1 бал за кожні 100 одиниць ваги товару
-Shop decoration|- Оформлення магазину
-Unlocking and upgrading shelf, vehicle, or items will give points|- Розблокування та покращення полиць, транспорту або предметів дає бали
-Unlocking shop room, unlocking and upgrading shelf will give pts|- Відкриття кімнат магазину, розблокування та покращення полиць дає бали
-Warehouse room|- Складське приміщення
1st Attack|Перша атака
2X2 Cabinet|Шафа 2×2
2nd|2-ге
2nd Attack|Друга атака
Add Card|Додати картку
Aetheria|Аетерія
Aetheria RPG|Аетерія RPG
Aetheria RPG Pack|Набір карток «Аетерія RPG»
Alpha|Альфа
Ancient Hammer|Стародавній молот
Arc Missile|Дуговий снаряд
Arcade Claw|Ігровий автомат із клешнею
Arcade Machine|Аркадний автомат
Archer|Лучник
Architect|Архітектор
Armored Slime|Броньований слиз
Arrow Sign YYY|Вказівник YYY
Artist|Художник
Ask Price|Запитувана ціна
Astronaut|Астронавт
Automatically opens card packs. Holds up to 128 packs at a time.|Автоматично відкриває бустери. Одночасно вміщує до 128 бустерів.
Automatically opens card packs. Holds up to 32 packs at a time.|Автоматично відкриває бустери. Одночасно вміщує до 32 бустерів.
Automatically opens card packs. Holds up to 64 packs at a time.|Автоматично відкриває бустери. Одночасно вміщує до 64 бустерів.
Axe|Сокира
Axe Warrior|Воїн з сокирою
Barber|Перукар
Barrage Missile|Залпова ракета
Barrage Missle|Залпова ракета
Barrel Hammer|Бочковий молот
Bartender|Бармен
Battle|Битва
Battle Chip|Чип битви
Beginner Player|Гравець-початківець
Beta|Бета
Blacksmith|Коваль
Blitz|Бліц
Bodybuilder|Бодібілдер
Bolt|Болт
Bonsai|Бонсай
Bouncer|Охоронець
Box Spawn Limit|Ліміт появи коробок
Box Up Decorate|Запакувати / декорувати
Boxing Glove|Боксерська рукавиця
Bulk Donation Box|Коробка безкоштовних карток
Bumblebee|Джміль
Buy Card|Купити картку
Can only refill with card pack|Можна поповнювати лише бустерами
Can't side on this side|З цього боку не можна ставити поруч
Can't sit on this side|З цього боку не можна сидіти
Cannot add while machine is running|Не можна додавати набори, поки машина працює
Capacity|Місткість
Capitalist|Капіталіст
Card Holder|Тримач для карток
Card Preserver|Захисний кейс для карток
Card Projector|Проєктор карток
Card Projector L|Проєктор карток L
Card Projector M|Проєктор карток M
Card Projector S|Проєктор карток S
Card Projector XL|Проєктор карток XL
Card Trade|Обмін картками
Card Wall Display|Настінна вітрина для карток
Cards Obtained|Отримано карток
Casual|Любительський
Casual Player|Гравець-аматор
Cat Mage|Кіт-маг
Cat Pirate|Кіт-пірат
Cat Thief|Кіт-злодій
Ceiling|Стеля
Ceiling YYY|Стеля YYY
Chain Gun|Багатоствольний кулемет
Change Grade|Змінити грейд
Check Submission Status|Перевірити статус заявки
Chill Missile|Охолоджуючий снаряд
Choose Turn Order|Вибрати порядок ходів
Collector|Колекціонер
Collectors Album|Альбом колекціонера
Comes with scanner device designed for stock management|У комплекті сканер для керування запасами.
Composer|Композитор
Connect|Підключити
Connect Error|Помилка підключення
Connecting|Підключення...
Connection Problem|Проблема з підключенням
Connection error|Помилка підключення
Connoisseur|Знавець
Construction|Будівництво
Contains at least:|Містить щонайменше:
Cook|Кухар
Copy|Копіювати
Cost Highest|Спочатку найдорожчі
Cost Lowest|Спочатку найдешевші
Cost Per Card|Вартість однієї картки
Creator|Творець
Crescent Claw|Півмісячний кіготь
Crescent Machete|Півмісячна мачете
Crimson Wheel|Багряне колесо
Crouch|Присісти
Cryo Blaster|Кріобластер
Current Page Value|Вартість карток на поточній сторінці
Customer Giving|Клієнт дає
Customer Selling|Клієнт продає
Customer Want|Клієнт хоче
CustomerReview/Absolute peak TCG experience|Ідеальний досвід для фаната TCG.
CustomerReview/Amazing shop! Thanks for the free cards!!|Чудовий магазин! Дякую за безкоштовні картки!!
CustomerReview/Awesome, found some cards I needed in the bulk bin!|Клас! Знайшов серед безкоштовних карток кілька потрібних мені!
CustomerReview/Best service. Keep up the good work!!|Найкраще обслуговування. Так тримати!!
CustomerReview/Found the cards I needed in the free bulk bin, thank you!|Знайшов серед безкоштовних саме ті картки, які шукав. Дякую!
CustomerReview/Free bulk cards!|Безкоштовні картки!
CustomerReview/Hard to play when you can't see the cards|Важко грати, коли навіть карток не видно.
CustomerReview/I can t believe a store expects customers to shop in near darkness. It s impossible to see the cards, the shelves, or anything else. Completely unacceptable.|Не можу повірити, що тут пропонують робити покупки майже в темряві. Не видно ні карток, ні полиць — узагалі нічого. Абсолютно неприйнятно.
CustomerReview/I had to hold the cards up to my phone's flashlight just to make out the text.|Довелося підсвічувати картки ліхтариком телефона, щоб хоча б розібрати текст.
CustomerReview/I like that the owner put up free bulk cards for us, keeps the TCG community alive.|Подобається, що власник виставив для нас безкоштовні картки. Ось так і підтримують TCG-спільноту.
CustomerReview/I love card shops, but this one? Practically a cave. It s uncomfortable to shop when you can t see what you re buying|Я люблю магазини карток, але цей — майже печера. Незручно купувати, коли не бачиш, що береш.
CustomerReview/I need a night-vision goggles to play in this shop lol|Щоб грати тут, потрібні окуляри нічного бачення, лол.
CustomerReview/Interesting experience playing in the dark, I think I managed to steal one of my opponent's card without him noticing, or maybe it is my own card? I have no idea|Цікавий досвід — грати в темряві. Здається, я непомітно забрав картку суперника. А може, це взагалі моя картка? Без поняття.
CustomerReview/One of the best TCG shops. Sells at fair prices and gives free cards instead of overcharging like competing shops.|Один із найкращих TCG-магазинів: чесні ціни й безкоштовні картки замість накруток, як у конкурентів.
CustomerReview/Peak customer service.|Обслуговування найвищого рівня.
CustomerReview/Thank you very much for the free cards. Now I can finally play!|Величезне дякую за безкоштовні картки! Тепер я нарешті можу грати.
CustomerReview/Thanks for the free cards!|Дякую за безкоштовні картки!
CustomerReview/The owner is a certified gigachad of the trading card world. Helped me find every single card I needed for free!|Власник — сертифікований гігачад світу колекційних карток. Безкоштовно допоміг знайти всі потрібні мені картки!
CustomerReview/The shop is fantastic, but honestly the owner is the real MVP.|Магазин чудовий, але, якщо чесно, головний MVP тут — власник.
CustomerReview/The shop is so dimly lit that I could barely read the card labels. It felt like I needed a flashlight just to see the prices.|У магазині так темно, що я ледве бачив написи біля карток. Здавалося, навіть для цінників потрібен ліхтарик.
CustomerReview/The store is way too dark, especially at night. I kept squinting just to look at the cards...|У магазині надто темно, особливо вночі. Щоб роздивитися картки, доводиться постійно мружитися...
CustomerReview/This place is ridiculously dark. I m here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.|Тут абсурдно темно. Я прийшов купувати картки, а не проходити випробування в печері. Увімкніть світло або роздавайте ліхтарики на вході.
CustomerReview/Too dark! The lighting makes it impossible to appreciate the artwork on the cards.|Надто темно! За такого освітлення неможливо нормально роздивитися ілюстрації на картках.
CustomerReview/Very friendly and honest shop with a big passion for trading card games, thank you for the free cards!|Дуже привітний і чесний магазин, де справді люблять колекційні карткові ігри. Дякую за безкоштовні картки!
CustomerReview/Very good, I highly recommend this shop. The owner put out free cards, just a joy to support this shop.|Дуже хороший магазин, однозначно рекомендую. Власник навіть виклав безкоштовні картки — такий магазин справді хочеться підтримувати.
CustomerTrade/Awesome, thanks!|Клас, дякую!
CustomerTrade/Best deal ever!|Найкраща угода!
CustomerTrade/Can I get a little more than that?|Можна трохи більше?
CustomerTrade/Good deal, thanks!|Хороша угода, дякую!
CustomerTrade/Great, thank you!|Чудово, дякую!
CustomerTrade/I want to sell this card. How much can I get?|Хочу продати цю картку. Скільки дасте?
CustomerTrade/I want to trade this card. Do you want it?|Хочу обміняти цю картку. Вам цікаво?
CustomerTrade/I'm looking for this card, wanna trade?|Шукаю цю картку. Обміняємося?
CustomerTrade/It's a bit too low. How about this?|Трохи замало. А як щодо такої суми?
CustomerTrade/Looking to sell this, can you give me a good price?|Хочу це продати. Запропонуєте хорошу ціну?
CustomerTrade/No way I'm gonna sell at that price.|За таку ціну я точно не продам.
CustomerTrade/Right on!|Домовилися!
CustomerTrade/Thank you!!|Дякую!!
CustomerTrade/Thanks!|Дякую!
CustomerTrade/That's way too low!|Це надто мало!
CustomerTrade/This is my final offer.|Це моя остаточна пропозиція.
CustomerTrade/Wanna sell this. What's the best I can get?|Хочу це продати. Яку найкращу ціну запропонуєте?
CustomerTrade/You got yourself a deal!|По руках!
Customize Your Shop|Налаштуйте свій магазин
Cyber|Кібер
Cyclops|Циклоп
DECO|ДЕКОР
DRAW|НІЧИЯ
Dark Knight|Темний лицар
Deck|Колода
Deck Edit|Редагування колоди
Deck copied successfully|Колоду успішно скопійовано
Deck data copied to clipboard|Дані колоди скопійовано до буфера обміну
Deck data import failed|Не вдалося імпортувати дані колоди
Deck is incomplete|Колода не завершена
Deck pasted successfully|Колоду успішно вставлено
Deco|Декор
Decorate|Декорувати
Delivery in XXX day|Доставка через XXX день
Delivery in XXX days|Доставка через XXX днів
Director|Директор
Discard Pile|Скид
Don't have the card customer wanted|Немає картки, яку хоче клієнт
Dragon|Дракон
Dragon Knight|Лицар-дракон
Drill|Свердло
Dual Missile|Подвійна ракета
E-Card Display|Електронна вітрина для карток
EVO Blazoar Figurine|Фігурка «EVO Блазозар»
EVO Blazoar Statue|Статуя «EVO Блазозар»
EVO Kingstar Figurine|Фігурка «EVO Кінгстар»
EVO Kingstar Statue|Статуя «EVO Кінгстар»
Eldritch Creature|Потойбічна істота
Elec Broadsword|Електричний палаш
Electric Chainsaw|Електрична бензопила
Electric Spike|Електричний шип
Electrician|Електрик
End Turn|Завершити хід
EndTurn|Завершити хід
Ends On : 14 October 2025|Завершується: 14 жовтня 2025
Energy|Енергія
Energy Shield|Енергетичний щит
Evolution|Еволюція
Export|Експорт
Express|Експрес
Fan Blade|Лезо вентилятора
Farmer|Фермер
Feather Blade|Лезо з пір’ям
Fencer|Фехтувальник
Fire Axe|Вогняна сокира
Fire Broadsword|Вогняний палаш
Fire Katana|Вогняна катана
Fire Rocket|Вогняна ракета
Fire Shield|Вогняний щит
Fire Twin Axe|Подвійна вогняна сокира
Fireman|Пожежник
Flamethrower|Вогнемет
Flip|Перевернути
Floor|Підлога
Floor YYY|Підлога YYY
Florist|Флорист
Freeze Bomb|Заморожувальна бомба
Friend Challenge|Виклик друга
Friend Invitation|Запрошення друга
Friend List|Список друзів
Friend Username|Ім’я користувача друга
Friend invitation received|Отримано запрошення від друга
Friend request sent|Запит на додавання в друзі надіслано
Friends|Друзі
Gamer|Геймер
Gamma|Гамма
Garuda|Гаруда
Geologist|Геолог
Giga Blade|Гігалезо
Giga Bundle|Гіганабір
Giga Cannon|Гігармата
Goblin Mage|Гоблін-маг
Goblin Thief|Гоблін-злодій
Goblin Warrior|Гоблін-воїн
Golem|Голем
Grade 7|Грейд 7
Graded|З грейдом
Grading|Грейдинг
Grading Time|Час грейдингу
Grandma|Бабуся
Handyman|Майстер на всі руки
Hangar|Ангар
Harpy|Гарпія
Hawk|Яструб
Heat Knife|Термоніж
Heat Missile|Теплова ракета
Hiker|Турист
Hobby DECO|Хобі-декор
Hold To Crouch|Утримувати для присідання
Hold To Sprint|Утримувати для бігу
How should I set the price?|Яку ціну встановити?
I will refill the machine with these|Цим я поповню машину.
